Tau,Measure,A-CoCoLasso,CoCoLasso,RandomForestCorrectedLasso,XGBoostCorrectedLasso
tau = 0.75,,,,,
,C,1.14 (0.83),2.99 (0.10),0.07 (0.36),0.00 (0.00)
,IC,179.75 (19.66),11.98 (3.63),0.00 (0.00),0.00 (0.00)
,PE,1854056.97 (1068195.28),3.36 (1.11),25.89 (3.55),25.64 (3.95)
,MSE,5100728.82 (2830148.27),3.32 (1.30),15.25 (0.00),15.25 (0.00)
tau = 1.25,,,,,
,C,0.55 (0.70),2.67 (0.55),0.00 (0.00),0.00 (0.00)
,IC,48.03 (14.12),1.32 (1.20),0.00 (0.00),0.00 (0.00)
,PE,420.67 (3298.66),12.50 (2.43),25.81 (3.25),25.86 (4.13)
,MSE,777.97 (6286.27),8.48 (2.03),15.25 (0.00),15.25 (0.00)
